Time	Message
2017-05-27 22:27:09	[secure] SCHTR: @Davidyz 怎么取消拉黑啊？
2017-05-27 22:28:56	[secure] SCHTR: @Davidyz 嗯哪嗯哪
2017-06-22 19:50:52	TDoomK: @Davidyz 自行车不错
2017-06-23 22:10:03	pillolipop: @Davidyz 是不是做i love shanghai的朋友啊233
2017-06-27 00:48:58	[secure] xxiaocai: @Davidyz 哎不好意思，回办公室才看到， 今天就是来这边办事。。
2017-06-27 00:50:57	[secure] xxiaocai: @Davidyz 没，平时玩的多。
2017-06-27 00:53:49	[secure] xxiaocai: @Davidyz 你url发我把。
2017-06-27 00:57:27	[secure] xxiaocai: @Davidyz xiaocai
2017-06-29 06:41:16	DuskPiper: @Davidyz 哇的一声哭了😭我的UPC
2017-06-30 18:56:15	BaII2Cube: @Davidyz @wuyansatuo 面？
2017-07-01 03:55:09	[secure] wcxg1994: @Davidyz 有，@YahetpS
2017-07-08 05:54:13	[secure] wuyansatuo: @Davidyz 什么东西
2017-07-08 05:55:18	[secure] wuyansatuo: @Davidyz 22w
2017-07-08 05:56:17	[secure] wuyansatuo: @Davidyz 我家这边有个7po还上了生产的 美滋滋
2017-07-29 08:01:28	omgamg: @Davidyz   hi there :)
2017-07-29 08:01:52	Aringodar: @Davidyz hello
2017-07-30 05:19:06	[secure] SageneBjolsen: @Davidyz hi. just here on a short visit :)
2017-07-30 05:27:55	[secure] SageneBjolsen: @Davidyz I know the feeling. running low myself :)
2017-07-31 13:50:39	[secure] nyecamden: @Davidyz I've asked someone from the local community to respond, thought I'd let you know. I am not really a missions person
2017-07-31 13:51:06	[secure] Veracruz: @Davidyz https://tinyurl.com/EnlLonVisitor
2017-08-05 06:59:11	Slamhound: @Davidyz Open Day at the Lowry 👍🙋
2017-08-07 04:39:39	Agis3: @Davidyz Hello, agent.
2017-08-07 04:42:43	Agis3: @Davidyz Tryimg to complete a mission :)
2017-08-07 04:44:53	Agis3: @Davidyz No, one-off.  Education Oxford.  No time for a series, unfortunately.
2017-08-10 07:25:22	[secure] laylalaisy: @Davidyz 回来了呀
2017-08-13 20:15:55	[secure] named5: @Davidyz 是哒～这边的绿军小伙伴好像也比较有数量优势啊
2017-08-13 20:20:43	[secure] named5: @Davidyz 准备去刷一下灵隐寺～
2017-08-13 20:29:00	[secure] named5: @Davidyz 恩？没有诶
2017-08-15 18:41:13	[secure] echoqmf: @Davidyz 是的
2017-08-15 18:44:46	[secure] echoqmf: @Davidyz 等会要面基吗
2017-08-15 18:47:32	[secure] echoqmf: @Davidyz 好的
2017-08-15 18:54:42	[secure] echoqmf: @Davidyz 来玩了一下顺便就做了 🙈
2017-08-15 18:57:04	[secure] echoqmf: @Davidyz 你先做吧，我和朋友在博物馆里逛
2017-08-15 19:48:00	echoqmf: @Davidyz 😂是我朋友
2017-08-15 19:51:02	[secure] echoqmf: @Davidyz 她比我早入坑🌚
2017-08-15 20:06:54	echoqmf: @Davidyz 来了
2017-08-17 19:24:59	[secure] ShuEvin: @Davidyz 我不面
2017-08-30 05:34:27	cIarkzjw: @Davidyz 我就说之前看到过你的ID。。
2017-10-04 05:48:43	AjimuTakuha: @Davidyz 我的多重不去炸两下么
2017-10-04 21:56:38	[secure] EtaoinWu: @Davidyz 地铁近江站-杭二中
2017-10-04 22:07:55	[secure] EtaoinWu: @Davidyz 有的
2017-10-04 22:08:49	[secure] EtaoinWu: @Davidyz 就叫这个名字
2017-10-07 04:25:47	PhoenixCity: @Davidyz 你打呀，哼
2017-10-14 01:15:20	AjimuTakuha: @Davidyz 离500还差多少
2017-11-18 00:06:09	[secure] CerfSika: @Davidyz 这就遇到了！
2017-11-18 00:08:22	[secure] CerfSika: @Davidyz 那不是爽歪歪……
2017-11-18 00:10:12	[secure] CerfSika: @Davidyz 赞助你4脚6脚
2017-11-18 00:11:50	[secure] CerfSika: @Davidyz 凯悦门口 我刚出的log这个po，我在长椅上
2018-01-25 17:01:32	sdx5945: @Davidyz 你的床p我都帮你升了。
2018-01-25 17:01:41	sdx5945: @Davidyz lol
2018-02-05 04:39:04	cIarkzjw: @Davidyz 这么快啊。。
2018-02-08 02:32:19	sdx5945: @Davidyz 回来啦
2018-02-15 03:14:23	[secure] Arekusanda: @Davidyz ping profile
2018-04-12 01:36:42	SHEEENSH: @Davidyz 哎，同济设计院 变绿了
2018-04-15 06:52:32	ngiamzsjit: @Davidyz 別打！
2018-05-18 06:11:35	SuperBeeFZW: @Davidyz 有点近，干脆出来逛逛（大佬见笑了）
2018-06-11 04:50:53	AjimuTakuha: @Davidyz 噫！2000万了
2018-06-26 06:49:54	45e84f9b58f: @Davidyz 👁 🤔💙💙👋« BestSexShop by @RedSoloCup -> Sexshop.net -> http://i.zhyk.ru/images/2018/06/26/YDoS4.jpg | Clitoris Hunter by Andreew Krug 😂😂| My Telegram: @RedSoloCup😂😂😂😂😂😂😂😂😂
2018-07-08 12:49:52	Instar: @Davidyz Welcome!
2018-07-08 13:05:30	[secure] Vulch: @Davidyz Psiren usually keeps Jesus College blue, but he has been away for a couple of weeks.
2018-07-09 12:05:42	[secure] thundercracker1: @Davidyz hey, welcome to Cambridge. message me if you want adding to the Cambridge visitors HO. 
2018-07-12 12:31:51	jftsang: @Davidyz yep I was
2018-07-12 13:45:13	jftsang: @Davidyz I was earlier
2018-07-13 04:57:56	[secure] pey: @Davidyz tg: peypey122
2018-07-13 10:05:11	Terrance: @Davidyz At the time of your message, probably on my way out...  As of now, a long way away 😬
2018-07-17 09:17:23	Wendex1: @Davidyz  @Vulch You two working hard to take my portals 😂 I’m going home for tea now! Enjoy the game! 😁👍
2018-07-18 11:32:15	Wendex1: @Davidyz Keep going! You’ll get that badge! 😁👍
2018-07-22 12:17:15	Wendex1: @Davidyz Congrats on your silver. Are you going for gold? You have until nearly midnight! Do it! 😈🙂👍
2018-07-22 12:25:04	Wendex1: @Davidyz 🙂As long as you’ve enjoyed the challenge. You should visit Ely on the train one day. Several banners, some easier than others. Enjoy the game! 🙂👍
2018-09-25 01:49:21	DDH3048: @Davidyz ら
2018-10-03 20:39:12	[secure] Werner42: @Davidyz 那你快去带他
